cycle,warmup,phase,pid,footprintMiB,checkpointRequestedMs,hostElapsedMs,snapshotTimestampMs,snapshotSequence,appState,route,mountedImageSurfaces,mountedImages,overlayIndexSize,pendingRenders,queuedRenders,dispatchedRenders,clearPending,backgroundGeneration,clearStartedGeneration,clearCompletedGeneration,cycleVisibleUuidCount,cycleMountedOrPrefetchedUuidCount,cycleRenderKeyCount,measuredDistinctVisibleUuidCount,measuredDistinctMountedOrPrefetchedUuidCount,measuredDistinctRenderKeyCount
12,False,background,64669,260.3,1432221.4883329999,1434546.759375,1788919979206,377,background,(tabs)/home,0,0,200,0,0,0,0,14,14,14,0,13,20,0,13,20
12,False,home,64669,263.9,1450787.649875,1452806.431041,1788919997420,381,active,(tabs)/home,19,66,200,0,0,0,0,14,14,14,0,13,20,0,13,20
13,False,settled,64669,263.8,1485805.496416,1488030.524416,1788920032618,389,active,(tabs)/home,19,66,200,0,0,0,0,14,14,14,0,13,20,0,13,20
13,False,browsed,64669,263.8,1536884.9451249999,1538999.8507909998,1788920083552,393,active,(tabs)/home,19,66,200,0,0,0,0,14,14,14,0,13,20,0,13,20
13,False,background,64669,260.3,1539000.320291,1541305.611625,1788920085981,401,background,(tabs)/home,0,0,200,0,0,0,0,15,15,15,0,13,20,0,13,20
13,False,home,64669,263.9,1557549.1986659998,1559550.774791,1788920104168,405,active,(tabs)/home,19,66,200,0,0,0,0,15,15,15,0,13,20,0,13,20
14,False,settled,64669,263.8,1592814.476083,1595056.7850829998,1788920139634,413,active,(tabs)/home,19,66,200,0,0,0,0,15,15,15,0,13,20,0,13,20
14,False,browsed,64669,263.8,1644092.3495,1646198.1438749998,1788920190835,417,active,(tabs)/home,19,66,200,0,0,0,0,15,15,15,0,13,20,0,13,20
14,False,background,64669,260.3,1646198.5984999998,1648744.851875,1788920193401,424,background,(tabs)/home,0,0,200,0,0,0,0,16,16,16,0,13,20,0,13,20
14,False,home,64669,262.6,1664906.5689579998,1667003.427166,1788920211652,428,active,(tabs)/home,19,66,200,0,0,0,0,16,16,16,0,13,20,0,13,20
15,False,settled,64669,262.5,1700265.97725,1702240.536166,1788920246849,436,active,(tabs)/home,19,66,200,0,0,0,0,16,16,16,0,13,20,0,13,20
15,False,browsed,64669,262.4,1751019.5737909998,1753206.819625,1788920297784,440,active,(tabs)/home,19,66,200,0,0,0,0,16,16,16,0,13,20,0,13,20
15,False,background,64669,258.8,1753207.260791,1755527.5962079999,1788920300184,447,background,(tabs)/home,0,0,200,0,0,0,0,17,17,17,0,13,20,0,13,20
15,False,home,64669,263.7,1772162.8388329998,1774324.496208,1788920318952,451,active,(tabs)/home,19,66,200,0,0,0,0,17,17,17,0,13,20,0,13,20
16,False,settled,64669,263.7,1807583.944916,1809793.941625,1788920354415,459,active,(tabs)/home,19,66,200,0,0,0,0,17,17,17,0,13,20,0,13,20
16,False,browsed,64669,263.7,1859552.555041,1861509.4984159998,1788920406151,463,active,(tabs)/home,19,66,200,0,0,0,0,17,17,17,0,13,20,0,13,20
16,False,background,64669,260.2,1861609.005166,1863960.4508749999,1788920408606,471,background,(tabs)/home,0,0,200,0,0,0,0,18,18,18,0,13,20,0,13,20
16,False,home,64669,263.7,1880581.8459579998,1882792.067333,1788920427368,475,active,(tabs)/home,19,66,200,0,0,0,0,18,18,18,0,13,20,0,13,20
17,False,settled,64669,263.7,1916020.949083,1918210.261458,1788920462835,483,active,(tabs)/home,19,66,200,0,0,0,0,18,18,18,0,13,20,0,13,20
17,False,browsed,64669,263.6,1968098.641375,1970191.2289159999,1788920514834,487,active,(tabs)/home,19,66,200,0,0,0,0,18,18,18,0,13,20,0,13,20
17,False,background,64669,260.2,1970191.6998329998,1972763.0428749998,1788920517394,494,background,(tabs)/home,0,0,200,0,0,0,0,19,19,19,0,13,20,0,13,20
17,False,home,64669,263.8,1989029.8050829999,1991139.101666,1788920535668,498,active,(tabs)/home,19,66,200,0,0,0,0,19,19,19,0,13,20,0,13,20
18,False,settled,64669,263.6,2024372.729166,2026589.025708,1788920571134,506,active,(tabs)/home,19,66,200,0,0,0,0,19,19,19,0,13,20,0,13,20
18,False,browsed,64669,263.6,2077931.445166,2080150.0392079998,1788920624770,510,active,(tabs)/home,19,66,200,0,0,0,0,19,19,19,0,13,20,0,13,20
18,False,background,64669,260.2,2080150.550833,2082478.6530409998,1788920627157,517,background,(tabs)/home,0,0,200,0,0,0,0,20,20,20,0,13,20,0,13,20
18,False,home,64669,262.4,2099199.048333,2101285.489875,1788920645939,521,active,(tabs)/home,19,66,200,0,0,0,0,20,20,20,0,13,20,0,13,20
19,False,settled,64669,262.2,2134254.791458,2136452.3880410003,1788920681121,529,active,(tabs)/home,19,66,200,0,0,0,0,20,20,20,0,13,20,0,13,20
19,False,browsed,64669,262.3,2187247.0947080003,2189231.902375,1788920733922,533,active,(tabs)/home,19,66,200,0,0,0,0,20,20,20,0,13,20,0,13,20
19,False,background,64669,258.8,2189232.415416,2191556.667208,1788920736239,540,background,(tabs)/home,0,0,200,0,0,0,0,21,21,21,0,13,20,0,13,20
19,False,home,64669,262.3,2208002.109166,2210104.5601250003,1788920754738,544,active,(tabs)/home,19,66,200,0,0,0,0,21,21,21,0,13,20,0,13,20
20,False,settled,64669,262.3,2243107.7895830004,2245304.544666,1788920789940,552,active,(tabs)/home,19,66,200,0,0,0,0,21,21,21,0,13,20,0,13,20
20,False,browsed,64669,262.2,2297261.382583,2299466.922791,1788920844074,556,active,(tabs)/home,19,66,200,0,0,0,0,21,21,21,0,13,20,0,13,20
20,False,background,64669,258.7,2299490.642875,2302035.722,1788920846737,564,background,(tabs)/home,0,0,200,0,0,0,0,22,22,22,0,13,20,0,13,20
20,False,home,64669,262.3,2318191.8680410003,2320282.5824160003,1788920864925,568,active,(tabs)/home,19,66,200,0,0,0,0,22,22,22,0,13,20,0,13,20
